address,category,details,id,lat,lng,location,name,numReviews,originalId,polarity,reviews,subCategory,Sub,vader
12 Station Approach,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40362,40362,51.411085724831,-0.026553869247437,London,Paolo's Coffee Shop,1.0,4b923c9df964a520caed33e3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40362,Coffee Shop,Cafe and Drinks,0.69
"Unit 7, Eden Walk",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40463,40463,51.409619737632,-0.30407667160034,London,Caffè Nero,8.0,4b9516a4f964a520948e34e3,6.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40463,Coffee Shop,Cafe and Drinks,0.17
85 Pellatt Rd.,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40492,40492,51.45443,-0.076591,London,Jack's,2.0,4b963672f964a520d2c034e3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40492,Coffee Shop,Cafe and Drinks,0.91
303 Uxbridge Rd,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40561,40561,51.434855348898,-0.37574529647827,London,Starbucks,1.0,4b98b3dff964a520094c35e3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40561,Coffee Shop,Cafe and Drinks,0.97
,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40656,40656,51.502439089247,-0.27982729785942,London,Starbucks,3.0,4b9b5ac6f964a5202e0236e3,7.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40656,Coffee Shop,Cafe and Drinks,0.06
"Check-in Hall, Terminal 3",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40764,40764,51.471028874549,-0.45782457830535,London,Costa Coffee,9.0,4b9d4120f964a520689d36e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40764,Coffee Shop,Cafe and Drinks,0.43
Tulse hill station,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40775,40775,51.43992,-0.105179,London,Puccino's,5.0,4b9df33ff964a520f0c336e3,9.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40775,Coffee Shop,Cafe and Drinks,0.8
"Unit 1A Euston Tower Podium, Regents Place",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40784,40784,51.525433341104,-0.13943195343018,London,Starbucks,8.0,4b9e2114f964a5206acc36e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40784,Coffee Shop,Cafe and Drinks,0.15
55-56 Long Acre,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40791,40791,51.513592,-0.12336,London,Starbucks,20.0,4b9e31c4f964a520ead036e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40791,Coffee Shop,Cafe and Drinks,0.11
"250 Upper Street, Islington",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=40817,40817,51.545402016787,-0.10342597961426,London,Starbucks,7.0,4b9f4295f964a520181a37e3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=40817,Coffee Shop,Cafe and Drinks,0.03
,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=41216,41216,51.375518795809,-0.091398081996184,London,Something's Brewing,1.0,4ba9f569f964a520de3f3ae3,10.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41216,Coffee Shop,Cafe and Drinks,0.85
East Court Cafe at Brent Cross Shopping Centre,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=41274,41274,51.57650279133,-0.22265553474426,London,Starbucks,7.0,4bab6eb8f964a52017a93ae3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41274,Coffee Shop,Cafe and Drinks,0.07
Unit 6a Lombardy Retail Park,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=41375,41375,51.516834962388,-0.40416598320007,London,Costa Coffee,4.0,4badfc5af964a5202e783be3,9.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41375,Coffee Shop,Cafe and Drinks,0.77
2-4 Southgate Road,restaurant,http://tour-pedia.org/api/getPlaceDetails?id=41388,41388,51.537580456458,-0.086431503295898,London,2 and 4 Cafe,3.0,4bae147af964a520e1813be3,5.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41388,Coffee Shop,Cafe and Drinks,0.35
"113 Barnet High St,",restaurant,http://tour-pedia.org/api/getPlaceDetails?id=41448,41448,51.655426830379,-0.20179002060867,London,Starbucks,1.0,4baf590ef964a52072f93be3,8.0,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=41448,Coffee Shop,Cafe and Drinks,0.24
